SRR1029537	CLEAR-WHITE_samp1
SRR1210381	RAC875_samp2
SRR1210382	OPATA_samp3
SRR1210383	W7894_samp4
SRR1210384	PBW343_samp5
SRR1210385	CLEAR-WHITE_samp6
SRR1210386	VOROBEY_samp7
SRR1210387	KLEIN-CHAMACO_samp8
SRR1210388	PAVON_samp9
SRR1210389	ACC2_samp10
SRR1210390	ACC1_samp11
SRR1210391	ACC3_samp12
SRR1210392	ACC4_samp13
SRR1210393	ACC5_samp14
SRR1210394	PI366716_samp15
SRR1210395	PI406517_samp16
SRR1210396	PI349512_samp17
SRR1210397	PI481923_samp18
SRR1210398	PI481718_samp19
SRR1210399	PI382150_samp20
SRR1210400	PI366905_samp21
SRR1210401	PI445736_samp22
SRR1210402	PI470817_samp23
SRR1210403	HIDHAB_samp24
SRR1210412	PI477870_samp25
SRR1210420	DHARWAR-DRY_samp26
SRR1210421	CHAM6_samp27
SRR1210422	CHAKWAT86_samp28
SRR1210424	BERKUT_samp29
SRR1210953	PI262611_samp30
SRR1210965	PI222669_samp31
SRR1210976	PI278297_samp32
SRR1210980	PI210945_samp33
SRR1210993	PI192569_samp34
SRR1211005	PI192147_samp35
SRR1211010	PI8813_samp36
SRR1211011	PI565213_samp37
SRR1211023	PI82469_samp38
SRR1211024	PI185715_samp39
SRR1211025	PI245368_samp40
SRR1211026	PI166333_samp41
SRR1211027	PI166180_samp42
SRR1211028	PI177943_samp43
SRR1211029	PI192001_samp44
SRR1211030	PI153785_samp45
SRR1211031	MARQUIS_samp46
SRR1211032	NEEPAWA_samp47
SRR1211059	AC-BARRIE_samp48
SRR1211060	CHINESE-SPRING_samp49
SRR1211063	CHINESE-SPRING_samp50
SRR1211082	RIALTO_samp51
SRR1211085	RIALTO_samp52
SRR1211088	TRUMAN_samp53
SRR1211089	TRUMAN_samp54
SRR1211099	UTMOST_samp55
SRR1211102	UTMOST_samp56
SRR1211111	AVALON_samp57
SRR1548581	49-2914-H1096_samp58
SRR1548582	102_samp59
SRR1548583	ESTACAO_samp60
SRR1548584	93_samp61
SRR1548585	TAXI_samp62
SRR1548586	PR267_samp63
SRR1548587	ALABASSKAJA_samp64
SRR1548588	ROEMER-WINTER_samp65
SRR1548589	407-IV-60_samp66
SRR1548590	403_samp67
